sample_id	depth	aliquot	prep_lab	analysis_lab	nuclide	N	dN	standard	standard_N	standard_dN	N4	dN4	outlier
DOL_3	2.5	a	CRPG	CRPG	3	385297920.1	10207131.73	CRONUS-P	5044343166	120970954.1	1.47E+14	1.11E+12	1
DOL_3_bis	2.5	b	CRPG	CRPG	3	413897305.6	11069666.64	CRONUS-P	5044343166	120970954.1	1.28E+14	9.85E+11	1
DOL_3_a	2.5	c	CRPG	CRPG	3	399306111.5	13644151.11	CRONUS-P	5044343166	120970954.1	2.27E+14	1.81E+12	1
DOL_3_a	2.5	a	CRPG	BGC	3	388082352.7	15559116.26	CRONUS-P	4781038056	80332391.46	1.83E+14	6.42E+12	1
DOL_4	3.5	a	CRPG	CRPG	3	388667097.5	10093909.38	CRONUS-P	5044343166	120970954.1	1.88E+14	1.39E+12	1
DOL_4_b	3.5	b	CRPG	CRPG	3	375680167.8	13811984.87	CRONUS-P	5044343166	120970954.1	2.08E+14	1.65E+12	1
DOL_5	4.5	a	CRPG	CRPG	3	365272510.1	9317425.127	CRONUS-P	5044343166	120970954.1	3.07E+14	1.18E+12	1
DOL_5_a	4.5	b	CRPG	CRPG	3	340955970.2	12303771.37	CRONUS-P	5044343166	120970954.1	2.72E+14	2.10E+12	1
DOL_5_b	4.5	c	CRPG	CRPG	3	398787839.7	12688135.98	CRONUS-P	5044343166	120970954.1	1.34E+14	1.16E+12	1
DOL_6_a	5.5	a	CRPG	CRPG	3	335109550.7	11748003.07	CRONUS-P	5044343166	120970954.1	1.50E+14	1.28E+12	1
DOL_6_b	5.5	b	CRPG	CRPG	3	348314666	12213952.28	CRONUS-P	5044343166	120970954.1	2.14E+14	1.78E+12	1
DOL_7	6.5	a	CRPG	CRPG	3	339826181.1	9194486.195	CRONUS-P	5044343166	120970954.1	1.30E+14	9.94E+11	1
DOL_7_a	6.5	b	CRPG	CRPG	3	344504740.2	12473325.08	CRONUS-P	5044343166	120970954.1	1.57E+14	1.33E+12	1
DOL_7_b	6.5	c	CRPG	CRPG	3	333221380.2	12588103.03	CRONUS-P	5044343166	120970954.1	1.36E+14	1.20E+12	1
DOL_9_a	8.5	a	CRPG	CRPG	3	349233728.4	11601357.87	CRONUS-P	5044343166	120970954.1	2.33E+14	1.83E+12	1
DOL_9_b	8.5	b	CRPG	CRPG	3	324714110.5	11612396.86	CRONUS-P	5044343166	120970954.1	1.97E+14	1.59E+12	1
DOL_10	9.5	a	CRPG	CRPG	3	327313476.2	9454799.674	CRONUS-P	5044343166	120970954.1	1.55E+14	1.17E+12	1
DOL_10_bis	9.5	b	CRPG	CRPG	3	331893830.7	9181051.977	CRONUS-P	5044343166	120970954.1	1.22E+14	9.38E+11	1
DOL_11_a	10.5	a	CRPG	CRPG	3	272426286.4	11180037.44	CRONUS-P	5044343166	120970954.1	1.75E+14	1.45E+12	1
DOL_11_b	10.5	b	CRPG	CRPG	3	270746598.4	10790902.3	CRONUS-P	5044343166	120970954.1	1.55E+14	1.30E+12	1
DOL_13	23.5	a	CRPG	CRPG	3	249902684.2	7375919.147	CRONUS-P	5044343166	120970954.1	1.77E+14	1.31E+12	1
DOL_13_b	23.5	b	CRPG	CRPG	3	255649717.9	9828134.088	CRONUS-P	5044343166	120970954.1	1.69E+14	1.40E+12	1
CRPG-DOL13a	23.5	a	CRPG	BGC	3	265463875.5	10761804.2	CRONUS-P	4781038056	80332391.46	1.83E+14	6.40E+12	1
CRPG-DOL13b	23.5	b	CRPG	BGC	3	259251191.4	10295794.23	CRONUS-P	4781038056	80332391.46	1.74E+14	6.05E+12	1
CRPG-DOL13c	23.5	c	CRPG	BGC	3	255418776.5	10597911.49	CRONUS-P	4781038056	80332391.46	2.06E+14	7.22E+12	1
DOL_14	33.5	a	CRPG	CRPG	3	181599309.7	6117584.235	CRONUS-P	5044343166	120970954.1	2.09E+14	1.53E+12	1
DOL_14_bis	33.5	b	CRPG	CRPG	3	204572642.4	6529481.256	CRONUS-P	5044343166	120970954.1	1.58E+14	1.19E+12	1
DOL_14_b	33.5	c	CRPG	CRPG	3	219601354.5	8869238.066	CRONUS-P	5044343166	120970954.1	2.13E+14	1.68E+12	1
DOL_16	58.5	a	CRPG	CRPG	3	131239835.3	4828052.905	CRONUS-P	5044343166	120970954.1	1.48E+14	1.11E+12	1
DOL_16_bis	58.5	b	CRPG	CRPG	3	124881268.1	4923866.757	CRONUS-P	5044343166	120970954.1	1.83E+14	1.36E+12	1
DOL_16_c	58.5	c	CRPG	CRPG	3	129307991.1	7334263.075	CRONUS-P	5044343166	120970954.1	1.84E+14	1.51E+12	1
DOL_17	82	a	CRPG	CRPG	3	89646484.34	3847575.25	CRONUS-P	5044343166	120970954.1	1.94E+14	1.43E+12	1
DOL_17_bis	82	b	CRPG	CRPG	3	90293759.12	3951221.328	CRONUS-P	5044343166	120970954.1	1.68E+14	1.25E+12	1
CRPG-DOL17a	82	a	CRPG	BGC	3	92823717.38	5793280.159	CRONUS-P	4781038056	80332391.46	1.96E+14	6.90E+12	1
DOL_18	102	a	CRPG	CRPG	3	55127955.53	3202963.04	CRONUS-P	5044343166	120970954.1	1.80E+14	1.33E+12	1
DOL_18_bis	102	b	CRPG	CRPG	3	53418418.37	3271307.896	CRONUS-P	5044343166	120970954.1	2.13E+14	1.56E+12	1
DOL_20	142	a	CRPG	CRPG	3	39161083.04	2685088.248	CRONUS-P	5044343166	120970954.1	1.48E+14	1.12E+12	1
DOL_20_bis	142	b	CRPG	CRPG	3	35526011.14	2652554.686	CRONUS-P	5044343166	120970954.1	1.27E+14	9.78E+11	1
DOL_21	162	a	CRPG	CRPG	3	30113772.69	2568186.202	CRONUS-P	5044343166	120970954.1	2.45E+14	9.88E+11	1
LABCO-0-1-Px	0.5	b	BGC	BGC	3	452432229.1	7814282.973	CRONUS-P	4781038056	80332391.46	1.55E+14	1.35E+12	0
LABCO-0-1-Px	0.5	c	BGC	BGC	3	445245904.7	5081521.15	CRONUS-P	4781038056	80332391.46	1.60E+14	4.64E+11	0
LABCO-0-1-Px	0.5	d	BGC	BGC	3	463557831.3	6079920.612	CRONUS-P	4781038056	80332391.46	1.99E+14	5.78E+11	0
LABCO-0-1-Px	0.5	a	BGC	CRPG	3	495320482.6	16271710.52	CRONUS-P	5044343166	120970954.1	1.48E+14	5.45E+11	0
LABCO-1-2-Px	1.5	b	BGC	BGC	3	440922483.7	7448919.529	CRONUS-P	4781038056	80332391.46	2.00E+14	1.52E+12	0
LABCO-1-2-Px	1.5	c	BGC	BGC	3	445365421.9	5296684.331	CRONUS-P	4781038056	80332391.46	2.22E+14	6.53E+11	0
LABCO-1-2-Px	1.5	a	BGC	CRPG	3	497142117.7	17510961.22	CRONUS-P	5044343166	120970954.1	2.36E+14	9.20E+12	0
LABCO-4-5-Px	4.5	a	BGC	BGC	3	419817483.8	7306069.638	CRONUS-P	4781038056	80332391.46	2.06E+14	1.59E+12	0
LABCO-4-5-Px	4.5	b	BGC	BGC	3	423024383.9	5489397.892	CRONUS-P	4781038056	80332391.46	2.31E+14	9.02E+11	0
LABCO-4-5-Px	4.5	c	BGC	BGC	3	420280623.9	5715011.743	CRONUS-P	4781038056	80332391.46	2.10E+14	6.16E+11	0
LABCO-9-10-Px	9.5	b	BGC	BGC	3	385838869.3	6834980.445	CRONUS-P	4781038056	80332391.46	1.96E+14	1.49E+12	0
LABCO-9-10-Px	9.5	c	BGC	BGC	3	386291726.5	5186623.896	CRONUS-P	4781038056	80332391.46	1.89E+14	5.54E+11	0
LABCO-13-14-Px	13.5	a	BGC	BGC	3	345992444.7	6270488.45	CRONUS-P	4781038056	80332391.46	2.01E+14	1.54E+12	0
LABCO-13-14-Px	13.5	b	BGC	BGC	3	346300701.3	5192432.9	CRONUS-P	4781038056	80332391.46	1.85E+14	5.39E+11	0
LABCO-13-14-Px	13.5	c	BGC	BGC	3	353539964.7	4924856.519	CRONUS-P	4781038056	80332391.46	2.07E+14	6.03E+11	0
LABCO-20-21-Px	20.5	b	BGC	BGC	3	326225045.4	5655179.948	CRONUS-P	4781038056	80332391.46	1.89E+14	1.25E+12	0
LABCO-20-21-Px	20.5	c	BGC	BGC	3	313668197.5	5650298.68	CRONUS-P	4781038056	80332391.46	2.03E+14	1.67E+12	0
LABCO-20-21-Px	20.5	a	BGC	CRPG	3	307443214	10411990.9	CRONUS-P	5044343166	120970954.1	1.97E+14	7.69E+12	0
LABCO-30-31-Px	30.5	b	BGC	BGC	3	260042808.1	4102320.104	CRONUS-P	4781038056	80332391.46	2.25E+14	1.50E+12	0
LABCO-30-31-Px	30.5	c	BGC	BGC	3	265498981.9	4839904.325	CRONUS-P	4781038056	80332391.46	2.33E+14	1.80E+12	0
LABCO 30-31	30.5	a	BGC	CRPG	3	283694892.8	10033359.51	CRONUS-P	5044343166	120970954.1	2.01E+14	7.84E+12	0
LABCO-55-56-Px	55.5	b	BGC	BGC	3	161654154.7	3133089.846	CRONUS-P	4781038056	80332391.46	1.74E+14	1.33E+12	0
LABCO-55-56-Px	55.5	c	BGC	BGC	3	172556292.5	2868511.981	CRONUS-P	4781038056	80332391.46	1.77E+14	5.19E+11	0
LABCO 55-56	55.5	a	BGC	CRPG	3	173380206.3	6642517.544	CRONUS-P	5044343166	120970954.1	1.74E+14	6.77E+12	0
LABCO-75-77-Px	76	c	BGC	BGC	3	110639103.4	2326656.12	CRONUS-P	4781038056	80332391.46	2.34E+14	1.80E+12	0
LABCO-75-77-Px	76	d	BGC	BGC	3	115654367.1	2611132.663	CRONUS-P	4781038056	80332391.46	2.38E+14	7.03E+11	0
LABCO-75-77-Px	76	e	BGC	BGC	3	116743816.9	2175642.098	CRONUS-P	4781038056	80332391.46	2.11E+14	6.09E+11	0
LABCO-95-97-Px	96	a	BGC	BGC	3	87216161.26	2087223.879	CRONUS-P	4781038056	80332391.46	2.25E+14	1.74E+12	0
LABCO-95-97-Px	96	c	BGC	BGC	3	81997019.52	1956080.224	CRONUS-P	4781038056	80332391.46	2.22E+14	6.50E+11	0
LABCO-95-97-Px	96	d	BGC	BGC	3	80916503.74	1946292.248	CRONUS-P	4781038056	80332391.46	2.37E+14	6.92E+11	0
LABCO-116-118-Px	117	c	BGC	BGC	3	63190276.41	1707282.885	CRONUS-P	4781038056	80332391.46	2.64E+14	7.75E+11	0
LABCO-116-118-Px	117	d	BGC	BGC	3	62842459.99	1758246.722	CRONUS-P	4781038056	80332391.46	2.47E+14	7.18E+11	0
LABCO-135-137-Px	136	b	BGC	BGC	3	44614803.39	1532483.521	CRONUS-P	4781038056	80332391.46	2.02E+14	5.86E+11	0
LABCO-135-137-Px	136	c	BGC	BGC	3	47164124.69	2030934.511	CRONUS-P	4781038056	80332391.46	2.04E+14	5.97E+11	0
LABCO-135-137-Px	136	d	BGC	BGC	3	50328170.31	1391312.965	CRONUS-P	4781038056	80332391.46	2.04E+14	5.96E+11	0
LABCO-155-157-Px	156	c	BGC	BGC	3	36637811.18	1597577.747	CRONUS-P	4781038056	80332391.46	1.39E+14	4.28E+11	0
LABCO-155-157-Px	156	d	BGC	BGC	3	34047534.17	1413199.244	CRONUS-P	4781038056	80332391.46	1.48E+14	4.26E+11	0
